dep;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;n_tot_rappel_biv;n_tot_3_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel;couv_tot_rappel_biv;couv_tot_3_rappel
01;2022-12-27;492881;488239;370589;80042;34877;9306;665391.0;74.1;73.4;55.7;12.0;5.2;1.4
02;2022-12-27;419703;415193;328298;72209;26950;8405;524403.0;80.0;79.2;62.6;13.8;5.1;1.6
03;2022-12-27;273964;271398;222134;55824;22893;6546;331757.0;82.6;81.8;67.0;16.8;6.9;2.0
04;2022-12-27;120465;118808;90954;22001;9714;3110;165582.0;72.8;71.8;54.9;13.3;5.9;1.9
05;2022-12-27;110525;109117;82963;19336;8443;2487;141059.0;78.4;77.4;58.8;13.7;6.0;1.8
06;2022-12-27;865029;853181;652739;149678;64142;23234;1103555.0;78.4;77.3;59.1;13.6;5.8;2.1
07;2022-12-27;253079;250326;193605;46914;20937;5996;330865.0;76.5;75.7;58.5;14.2;6.3;1.8
08;2022-12-27;213378;211224;168475;39948;14953;4660;265285.0;80.4;79.6;63.5;15.1;5.6;1.8
09;2022-12-27;115287;113908;88969;20878;8446;2432;153126.0;75.3;74.4;58.1;13.6;5.5;1.6
10;2022-12-27;238337;235953;186572;42519;17268;4854;311083.0;76.6;75.8;60.0;13.7;5.6;1.6
11;2022-12-27;291940;288438;225513;56582;23092;7392;379844.0;76.9;75.9;59.4;14.9;6.1;1.9
12;2022-12-27;221099;218684;171942;39305;17579;4298;280254.0;78.9;78.0;61.4;14.0;6.3;1.5
13;2022-12-27;1506265;1483146;1098988;223043;100113;31295;2062499.0;73.0;71.9;53.3;10.8;4.9;1.5
14;2022-12-27;582847;577412;468382;115476;51172;15690;695310.0;83.8;83.0;67.4;16.6;7.4;2.3
15;2022-12-27;119997;118970;97645;23097;9831;2470;143280.0;83.8;83.0;68.1;16.1;6.9;1.7
16;2022-12-27;288343;285419;231505;64053;24714;8516;350298.0;82.3;81.5;66.1;18.3;7.1;2.4
17;2022-12-27;563207;557683;448476;131761;53746;19049;659482.0;85.4;84.6;68.0;20.0;8.1;2.9
18;2022-12-27;242684;240320;196211;52356;19555;6953;296904.0;81.7;80.9;66.1;17.6;6.6;2.3
